user_a,user_b,rssi,#timestamp
Ayesha Jallow,-1,0,543600
Victoria Parker,-1,0,1351800
Samira Al-Haddad,-1,-93,1514100
Emily Bell,Michael Coleman,-82,906000
Audrey Ward,-1,0,1470300
Rima Hassan,-1,-67,1510500
Samuel Richardson,-1,0,918000
Emma Mendonça,Nathan Brooks,-91,2104200
Ahmed Nasser,-1,-98,2243400
Ji-eun Kim,-1,0,1539900
Ananya Das,Ethan Baker,-96,210000
Lucas Herrera,Emilia Pereira,-93,126600
Amadi Nwosu,-1,0,2332500
Musa Kamau,Andrei Sokolov,-86,1929600
Aleksei Volkov,-1,0,2164200
Hamza Saad,-1,-91,1240200
Zikomo Banda,-1,0,781500
Mason Anderson,-1,0,20100
Rakesh Singh,-1,0,692100
Emma Mendonça,-1,0,1757700
Mojalefa Modise,Baraka Okafor,-76,1108800
Zainab Nkosi,-1,-78,1965300
Samuel Reed,-1,0,2171400
Lucas Rocha,-1,0,613200
Amadi Nwosu,Alexander Reed,-69,211200
Chen Wang,Zoey Hall,-96,1663500
Violet Kelly,-1,0,1047300
Santiago Castro,-1,0,1455900
Sofia Cook,Lucas Garcia,-92,1516800
Mariam Al-Rizk,Fatima Al-Said,-70,2170500
Musa Kamau,Baraka Soumahoro,-77,1343400
Martina Ramos,Daniel Turner,-86,2122200
Fahad Al-Hamdan,-1,0,1739700
Samuel Coleman,-1,0,1382400
Juan Pablo Guerra,-1,0,1614600
Zoey Powell,-1,0,2368800
Chidi Okafor,-1,0,15300
Olga Voronina,-1,0,2323500
Hannah Collins,-1,0,657000
Halima Toure,Camila Lima,-87,255900
Sebastian Santos,-1,0,1047900
Nadia Al-Hamadi,Emily Bell,-74,212400
Fatima Hamza,Amina Juma,-92,951900
Yuki Nakamura,-1,0,1288500
Zahra Osei,-1,0,1287900
Lucas Rocha,-1,0,1052100
Camila Costa,-1,0,686700
Zuri Kamara,Zuri Okoro,-86,2390400
Penelope Griffin,-1,-95,347100
Zoey Morgan,Joshua Wood,-95,135900
Stella Rodriguez,-1,-86,1893300
Nathan Brooks,-1,0,1177200
Antonella Costa,Jabari Mbeki,-88,310500
Maria Kuznetsova,Nala Diallo,-92,8400
Aisha Keita,-1,0,396600
Nadia Al-Salim,-1,-86,1572000
Valentina Castro,Samuel Coleman,-89,916500
Sana Wang,Sophia Cooper,-95,2216400
Svetlana Orlova,-1,0,1272000
Asha Kebede,Ethan Allen,-93,741000
Joaquin Pereira,-1,0,770700
Karim Saad,Sophia Cooper,-92,999300
Daniel Cardoso,Imran Dube,-72,999600
Nadia Al-Salim,-1,0,1567200
Sergey Kozlov,-1,0,2274600
Daria Kuznetsova,-1,0,1829400
Ravi Sharma,-1,-91,67500
Lucas Herrera,Julian Ross,-97,1479600
Tatiana Ivanova,-1,0,1635300
Uzoma Okeke,-1,-92,1077300
Khadija Issa,-1,0,1913700
Yasmin Al-Ahmad,-1,0,1953900
Ava Wright,-1,0,635100
Nathan Stewart,Lily Foster,-83,1931100
Chinedu Okonkwo,Hannah Collins,-66,1521000
Daniel Turner,-1,0,1999500
Ryan Rogers,-1,0,1373400
Eleanor Sanchez,Abigail Morgan,-100,396300
Chidi Okoro,-1,0,230700
Mubarak Achebe,-1,0,366000
Ella Phillips,-1,0,1721700
Agustin Ramirez,-1,-84,1268400
Fatima Sarr,-1,0,777600
Aisha Saidi,-1,0,1066200
Vladimir Smirnov,Ji-hye Park,-91,1348800
Elizabeth Bennett,-1,-68,294000
Ayomide Ojo,David Rogers,-79,134700
