user_a,user_b,rssi,#timestamp
Ayesha Mensah,-1,0,1823100
Imani Eze,Zoey Morgan,-88,221400
Emma Fernandes,Omar Al-Khouri,-83,925800
Kwame Diallo,Ji-hye Park,-91,1516200
Layla Al-Farsi,Penelope Griffin,-85,1687200
Santiago Castro,Sara Hassan,-91,122100
Oksana Antonova,-1,-80,734700
Tomas Sanchez,Tariq Mansour,-88,909000
Ana Oliveira,-1,0,183600
Nour Al-Saeed,-1,0,1494900
Isabella Ferreira,Shinji Yamamoto,-80,2299800
Matias Carvalho,Lina Al-Saleh,-92,1429200
Sebastian Barbosa,Baraka Soumahoro,-84,373200
Fatima Hamza,Ella Phillips,-92,1072800
Ayomide Ojo,David Rogers,-92,777000
Omar Al-Khouri,-1,-88,910500
Irina Morozova,Noor Al-Hakim,-89,1408200
Rania Al-Akbar,Omar Al-Khouri,-96,1269000
Fatima Al-Said,Uzoma Okeke,-85,1430400
Vladimir Smirnov,Julian Ferreira,-87,1471500
Sofia Campbell,Caleb Sanchez,-81,379500
Daniel White,-1,0,1739100
Nala Bah,-1,0,2172900
Scarlett Murphy,-1,0,1791600
Ava Simmons,-1,0,1845900
Tariq Ibrahim,Layla Al-Aziz,-82,469800
Mubarak Achebe,-1,-98,2275200
Dalia Mensah,Safiya Kamau,-63,908400
Chipo Moyo,-1,-92,776100
Min-jun Lee,-1,0,958500
Emma Fernandes,Leila Al-Zaidi,-88,617700
Layla Al-Farsi,-1,-89,1257300
Agustina Duarte,-1,-68,311400
Daniel Parker,-1,-86,1374900
Layla Al-Aziz,-1,-88,1188300
Raziya Abubakar,William Cox,-87,295200
Lucas Rocha,Nia Juma,-94,1074900
Fatima Hamza,Amina Juma,-87,1661700
Sergey Antonov,-1,-88,1266300
Adebisi Adeleke,-1,0,1019400
Obi Eze,Michael Coleman,-82,1673700
Yekaterina Sidorova,-1,0,2165100
Tendai Nyathi,Ella Phillips,-95,1690800
Lucas Almeida,Victoria Morgan,-78,2197200
Zainab Fall,-1,0,24900
Ahmed Nasser,-1,0,192000
Grace Ramirez,Christian Carter,-94,1959300
Matias Carvalho,-1,-66,516300
Aya Al-Bakri,-1,0,315600
Abigail Green,-1,0,1549200
Nia Juma,-1,0,105600
Idris Adekunle,Dominic Hernandez,-94,274200
Rajesh Gupta,Hiroshi Nakamura,-46,1434600
Lucas Herrera,Imani Asante,-80,1309200
Mustafa Al-Masri,-1,0,1820100
Youssef Al-Saeed,Fatima Al-Said,-97,1675500
Sofia Ribeiro,-1,0,1004400
Nathan Edwards,-1,0,1159800
Andrew Turner,-1,0,267300
Paisley Flores,-1,0,507900
Yuri Romanov,Aria Reed,-96,245400
Anna Romanova,-1,0,2130300
Noor Al-Hakim,Sana Wang,-75,211200
Julian Ross,-1,-98,942900
Iniko Nkrumah,Emily Cook,-95,208200
Yulia Antonova,Joseph Kelly,-75,727500
Lucas Escobar,Oliver Turner,-91,2104800
Aliya Al-Maqdisi,Brooklyn Peterson,-83,485400
Victoria Morgan,-1,0,1427700
Nicolas Ribeiro,Sofia Ribeiro,-94,1148400
Ibrahim Fawzi,-1,0,1771800
Victoria Rocha,Aarav Patel,-82,1916400
Mojalefa Modise,Chika Akintola,-86,400500
Imani Eze,-1,0,1035600
Ahmed Rizk,-1,0,1115100
Arisa Sato,Penelope Brooks,-87,2111700
Mia Price,-1,0,1983300
Oliver White,-1,-76,660000
Ayako Tanaka,Sebastian Foster,-76,1943100
Karan Gupta,-1,0,1500600
Hadi Al-Jaber,-1,-77,664200
Karim Sharif,-1,-87,105000
Zikomo Banda,Renata Soares,-84,2199600
Ji-hye Park,-1,0,2091300
Natalia Voronova,Bella Gray,-90,1608000
Mia Miller,-1,0,2226000
Hannah Collins,-1,-84,2233200
Julian Ramirez,Emma Guzman,-80,1433400
Lina Al-Saleh,Matthew Thompson,-85,855900
Sofia Mendoza,-1,-82,799800
Aria Reed,-1,0,465300
Ji-woo Lee,Ava Simmons,-86,398400
Hadi Al-Jaber,Fatima Nkrumah,-77,1993800
Matias Pacheco,-1,0,2259000
Gabriel Cox,Sofia Cook,-99,1522800
Santiago Marques,Imani Koné,-80,1010100
Ahmed Al-Dawood,Aisha Hakim,-72,588300
Isabella Guzman,-1,0,1234500
Maya Mitchell,Claire Simmons,-86,989100
Ji-hye Park,-1,0,1397400
Layla Price,-1,0,188400
Benjamin Turner,Savannah Coleman,-77,2107800
Isaiah Howard,-1,0,101700
Olga Kuznetsova,Layla Al-Hamadi,-92,1118100
Yasmin Hamdi,Ryan Rogers,-99,1345200
Yana Orlova,-1,-74,1071600
Priya Patel,Madison Rivera,-64,2212200
Kato Soumahoro,-1,0,378000
Antonella Mendonça,-1,-94,165900
Victoria Morgan,-1,0,819600
Addison Watson,Oliver Turner,-90,2190000
Thabo Mokwena,Sofia Costa,-86,1089000
Chloe Bennett,-1,0,827400
Rania Al-Akbar,Omar Al-Khouri,-86,931200
Isabella Davis,-1,-86,2275800
Zainab Nkosi,Andrew Foster,-96,864600
Khaled Al-Najjar,-1,0,1953900
Mariam Al-Rizk,Rima Hassan,-88,676500
Sergey Kozlov,Lucas Herrera,-82,128700
Camila Cardoso,Priya Singh,-84,375300
Malik Al-Ali,-1,0,256200
Ahmed Al-Rashidi,Ayako Tanaka,-58,492600
Isabella Costa,Malik Sankara,-75,2019900
Lily Turner,Christopher Davis,-90,991800
Fatima Al-Ahmadi,Karan Kapoor,-80,1161000
Pavel Egorov,Eli Ramirez,-96,2216100
Noor Al-Hakim,Imani Koné,-94,1985100
Noor Al-Hakim,Sophia Cooper,-80,1507200
Yara Aziz,-1,-92,799200
Vladimir Sidorov,Natalya Sidorova,-79,901500
Hamza Saad,-1,0,1389300
Nala Bah,Kazuki Suzuki,-87,384300
Sara Hassan,Aarav Patel,-92,722400
Violet Kelly,Madison Bailey,-85,2043000
Fatima Sarr,-1,0,1325400
Sergey Kozlov,Youssef Al-Saeed,-92,2329500
Zahra Mansour,-1,0,318600
Hamza Al-Hussein,Yara Ndlovu,-97,2042400
Lucas Rios,-1,0,305400
Tariq Mansour,Ava Wilson,-98,1732200
Audrey Ward,-1,0,2012100
Isabella Barbosa,Jack Morgan,-80,143700
Nikolai Kozlov,Charlotte Thomas,-78,2196600
Samuel Bennett,-1,0,473100
Nicolas Santos,Ji-woo Park,-75,678300
Andrey Popov,Rima Hassan,-73,813900
Noor Al-Badawi,Sakura Tanaka,-97,1345500
Aria Peterson,-1,0,754500
Nathan Edwards,-1,0,1548600
Jabari Toure,Aria Reed,-97,1506600
Jabiru Moyo,-1,0,339300
Lina Al-Saleh,Eleanor Sanchez,-84,2042400
Yasir Al-Khatib,-1,-67,1789500
Ava Simmons,-1,0,3300
Isabella Guzman,Karan Kapoor,-84,1933800
Agustin Ramirez,-1,-80,1448400
Hadi Al-Jaber,Hamza Saad,-89,1511700
Imani Asante,-1,0,192900
Noor Al-Hakim,Dylan Butler,-90,730500
Zoey Griffin,-1,-94,146100
Jabari Mbeki,Li Chen,-98,1952100
Violet Kelly,Liam Thompson,-90,1335600
Zoey Hall,-1,0,1722300
Amelia Coleman,-1,0,1359300
Karim Saad,Jacob Wright,-71,1438200
Noah Martinez,-1,0,1994700
Sophia Brown,David Ross,-97,388800
Zhang Li,-1,0,457500
Matias Pacheco,-1,0,944400
Stella Mitchell,-1,-67,2049300
Emma Guzman,Tariq Mansour,-80,1159200
Lily Morris,-1,0,1658400
Nadia Al-Hamadi,Penelope Brooks,-74,126600
Mirembe Nakamura,Lily Foster,-86,1940400
Valeria Ramos,Ayesha Touré,-84,2292000
Pavel Petrov,-1,0,188400
Aleksandr Kozlov,-1,0,1702200
Aleksandr Gusev,-1,0,962400
Alexey Ivanov,-1,-80,655200
Amadi Nwosu,-1,0,1932300
Aliya Al-Maqdisi,Wyatt Roberts,-94,1947000
Emiliano Cabrera,-1,0,1028100
Viktor Sokolov,Ji-woo Lee,-95,1737900
Zara Mokwena,-1,0,74700
Salma Al-Jaber,-1,0,924900
Tomas Sanchez,-1,0,175800
Aisha Jallow,-1,0,2389500
Zuri Okoro,Christopher Collins,-67,1075500
Amadi Nwosu,-1,0,1742700
Sofia Costa,-1,0,2157300
Victoria Kuznetsova,-1,-81,805800
Yara Ndlovu,Sakura Suzuki,-81,2108100
Victoria Kuznetsova,-1,-51,1707900
Kwame Adebayo,Adnan Karim,-89,1982400
Asha Kamau,-1,-74,67200
Ayodele Balogun,Nora Foster,-96,2287800
Michael Cooper,-1,0,2308500
Zikomo Banda,-1,0,1239000
Matías López,David Rogers,-89,894900
Dominic Hernandez,-1,-99,1760100
Grace Adams,Sophia Cooper,-62,1200900
Tatiana Voronina,-1,0,608100
Tomas Vasquez,Imani Asante,-90,1037400
Yasir Al-Khatib,Malik El-Din,-95,723900
Noah Jenkins,-1,-76,1959600
Yuki Nakamura,-1,0,1732200
Ayako Tanaka,Karan Kapoor,-77,981900
Safiya Diop,-1,-91,1933800
Uzoma Okeke,Zoey Hall,-99,818100
Valeria Ramos,Leila Mahmoud,-81,739200
Min-jung Kim,-1,0,510300
Tetsuya Ono,-1,0,8700
Savannah Cox,Lily Foster,-82,465000
Zuri Kamara,Nia Nkosi,-80,915000
Mateo Silva,-1,0,2065800
Haruki Nakamura,-1,0,512400
Zara Akintola,-1,-92,1722900
Claire Simmons,Liam Thompson,-88,1915800
Julian Ramirez,Gabriel Alvarez,-96,211800
Carter James,Joshua Wood,-82,395700
Natalia Voronova,Victoria Morgan,-92,745800
Aubrey Russell,-1,0,1910100
Roman Kozlov,-1,0,1306800
Leila Al-Zaidi,Samuel Perry,-86,1505700
Khaled Al-Hakim,Chika Akintola,-85,1945200
Christopher Perry,-1,0,135600
Nia Nkosi,-1,-90,632400
Antonella Mendonça,Kazuki Suzuki,-76,2195700
Svetlana Volkova,Andrew Foster,-84,2116200
Hannah Simmons,Jack Morris,-95,2061600
Elena Castro,-1,-51,1357500
Yekaterina Pavlova,-1,0,327600
Zara Mokwena,-1,-86,469800
Audrey Ward,-1,0,1121100
Jonathan Adams,-1,0,1912200
Aisha Saidi,Hassan Ibrahim,-64,980400
Leonardo Cordero,Jack Morris,-78,896700
Audrey Ward,-1,0,458400
Omar Al-Khouri,Hannah Simmons,-94,1488000
Akira Tanaka,Zoey Morgan,-77,2043900
Isabella Guzman,Kofi Akoto,-88,1525800
Victoria Antonova,Ava Simmons,-80,1615500
Isabella Barbosa,Rima Hassan,-78,126300
Vitaly Popov,-1,0,952500
Yelena Sidorova,Isabella Pereira,-85,1737300
Grayson Parker,Nora Howard,-96,1844700
Kwame Diallo,-1,0,652200
Vitaly Popov,Matthew Adams,-80,1509900
Joaquin Pereira,-1,0,2392500
Salma Al-Salim,-1,-95,1377600
Fahad Hassan,-1,0,1581000
Arisa Sato,-1,0,2204100
Malik Toure,David Ross,-96,1344300
Roman Kozlov,-1,0,1734300
Thiago Herrera,-1,-70,257100
Karim Sharif,-1,-75,1251900
Noor Al-Hakim,Penelope Griffin,-93,543600
Igor Sidorov,Tomas Vasquez,-93,1676100
Alexey Ivanov,Imani Koné,-95,1401600
Noor Al-Badawi,Ethan Allen,-72,1436100
Isabella Davis,-1,0,1491000
Christopher Price,-1,0,1887600
Hassan Ibrahim,-1,-97,1510500
Samira Al-Haddad,-1,0,1161600
Aleksandr Petrov,-1,0,2220900
Karan Gupta,Hazel Gonzalez,-93,2280900
Aleksandr Kozlov,Imani Eze,-74,2126700
Marina Kovalenko,Amina Koné,-90,603600
Ana Oliveira,Jamila Diawara,-66,2123100
Ayodele Ogundele,-1,0,2013900
Luna Howard,Christopher Foster,-85,387300
Addison Watson,-1,0,1660200
Zahra Osei,-1,-67,1206000
Amira Al-Jabouri,-1,0,154500
Isaiah Howard,-1,0,2187000
Emily Cook,-1,-81,1272000
Deepika Singh,-1,0,1211700
Harper Lewis,-1,0,1389300
Yekaterina Sidorova,-1,0,1453500
Mirembe Nakamura,Adam Wilson,-94,1310400
Julian Cooper,-1,0,747000
Lina Al-Saleh,Zainab Nkosi,-81,266700
Haruki Takahashi,-1,-78,2126400
Antonella Rodrigues,-1,0,311400
Alexey Smirnov,Tomas Sanchez,-75,831300
Maya Mitchell,-1,0,1769400
Sofia Pinto,-1,0,202200
Sebastian Santos,David Ross,-72,1671900
Hamza Al-Hussein,Charlotte Bell,-83,1619100
Zainab Nkosi,Andrew Foster,-81,1674300
Zuri Kamara,-1,0,580800
Stella Mitchell,-1,0,1048800
Elijah Rodriguez,-1,0,1794300
Victoria Kuznetsova,Samuel Lee,-93,1434300
Roman Kozlov,-1,0,1352700
Claire Simmons,Eleanor Sanchez,-81,985200
Aisha Saad,-1,0,1104300
Ji-hoon Lee,-1,0,1365600
Zara Diop,-1,0,1321500
Grace Ramirez,Michael Cooper,-81,918000
Ahmed Rizk,Nia Nkosi,-82,2210400
Asha Osei,-1,0,1779600
Sebastian Paz,Chika Akintola,-70,835500
Lumka Ntuli,Ayesha Mensah,-69,1673700
Adnan Karim,-1,0,949200
Sophia Brown,-1,-70,1259700
Folasade Dosunmu,-1,-73,1296600
Jabari Mbeki,Sofia Cook,-90,2126700
Isaac Adams,-1,0,1383000
Malik El-Din,-1,0,1450500
Joshua Wood,-1,0,463200
Kazuki Suzuki,-1,0,1149300
Zahra Al-Jaber,-1,0,1217400
Nia Sow,Priya Patel,-84,122400
Ashok Sharma,-1,-64,2142300
Martina Oliveira,Sakura Suzuki,-73,2202000
Adebisi Adeleke,-1,0,2075100
Nkosana Nkosi,-1,0,2403600
Zoey Powell,Aubrey Russell,-90,2194800
Lina Al-Saleh,Landon Sanders,-70,816600
Julian Ferreira,Caleb Wood,-82,311100
Gabriel Marques,Ibrahim Fawzi,-73,2129400
Daria Kuznetsova,Santiago Ferreira,-90,1070100
Andrew Turner,-1,0,1243200
Gabriel Gray,-1,0,404400
Irina Volkova,Karan Kapoor,-83,1129500
Samira Al-Haddad,-1,0,1122300
Natalya Sidorova,-1,-86,1615200
Grace Adams,Sophia Cooper,-74,1470900
Abigail Morgan,-1,0,198900
Nkosana Nkosi,-1,-90,924600
Sergei Ponomarev,Luna Howard,-94,95100
Andrew Foster,-1,0,1617300
Ayako Suzuki,-1,-98,729900
Antonella Mendonça,-1,0,2133900
Yekaterina Sidorova,-1,0,1753500
Halima Toure,Camila Lima,-84,1392000
Rajesh Gupta,-1,-80,1712400
Baraka Soumahoro,-1,-77,383100
Ella Phillips,Christopher Price,-67,1170600
Aisha Hakim,Ananya Das,-89,141900
Ranjana Sharma,-1,-70,1570500
Rajan Patel,Hannah Collins,-89,2302500
Isabella Ferreira,Isabella Guzman,-70,1348200
Amina Abiola,-1,0,1627500
Amelia Castro,-1,0,1510800
Isabella Barbosa,Sofia Campbell,-80,1329600
Thiago Herrera,Ahmed Al-Dawood,-75,1673100
Hassan Ibrahim,Tariq Mansour,-95,1943100
Aleksandr Makarov,Hamza Al-Hussein,-57,749100
Lina Al-Saleh,Hassan Ibrahim,-78,1004400
Claire Simmons,-1,-92,2222100
Roman Kozlov,Sebastian Paz,-95,996600
Ayumi Suzuki,-1,0,1861500
Yara Aziz,-1,0,1468800
Nada Al-Khalidi,-1,0,825300
Benjamin Taylor,-1,0,1969500
Zara Al-Masri,Safiya Dlamini,-80,2116200
Deepika Singh,Joseph Kelly,-95,1942200
Rima Hassan,-1,0,567600
Aleksandr Popov,Amelia Clark,-71,140100
Hassan Al-Abdullah,-1,0,1534800
Isabella Ferreira,Rajesh Sharma,-82,1044300
Fatima Al-Said,-1,0,954000
Noor Al-Hakim,Michael Cooper,-96,2124600
Aarav Gupta,Audrey Ramirez,-90,751200
Luna Howard,Christopher Foster,-99,1694100
Nada Al-Khalidi,Yasmin Al-Ahmad,-50,1717500
Amira Sarr,-1,0,140400
Alejandro Rodríguez,-1,0,2289000
Alexey Smirnov,-1,-86,770700
Aishwarya Gupta,-1,0,935400
Emiliano Cabrera,-1,-95,1782300
Ekaterina Volkova,-1,0,1584000
Khaled Al-Najjar,Hannah Simmons,-62,1076100
Pavel Egorov,-1,-90,744600
Sara Al-Khouri,-1,0,2019000
Rashid Mahmoud,James Foster,-80,139500
Habiba Mansour,Nala Diallo,-96,909600
Samuel Coleman,Benjamin Brooks,-97,806400
Chika Akintola,Wyatt Roberts,-94,1119600
Samuel Coleman,-1,0,2322600
Fatima Al-Said,-1,0,2022000
Sebastian Herrera,Julian Ferreira,-97,428100
Sergei Smirnov,Andrew Hayes,-88,207900
Matthew Bell,-1,0,2002200
Diop Sarr,Yasmin Hamdi,-71,1050000
Aleksandr Makarov,-1,0,980400
Julian Ferreira,Owen Edwards,-90,1935900
Oliver Stewart,-1,0,1345500
Sebastian King,-1,0,580500
Antonella Rodrigues,Noah Jenkins,-87,1072800
Samuel Lee,-1,-100,261300
Tomas Vasquez,-1,-47,2322900
Priya Patel,Madison Rivera,-64,1608900
Sebastian Barbosa,-1,0,697200
Igor Sidorov,-1,-71,500100
Leila Al-Zaidi,-1,0,1180800
Agustina Duarte,-1,-73,1446300
Naledi Khumalo,-1,-93,1487100
Benjamin Rocha,Amira Ojo,-87,2046000
Nikolai Sidorov,-1,0,2263200
Viktor Sokolov,Diego Marquez,-79,2340900
Nicolas Ortega,Amelia Murphy,-85,205500
Rashid Farah,-1,0,676500
Hassan Al-Abdullah,-1,-65,1279200
Ravi Sharma,-1,0,1158000
Ifeoma Eze,Roman Smirnov,-91,312300
Kofi Akoto,Sebastian Foster,-91,1937400
Gabriel Marques,Aarav Patel,-97,2185800
Alejandro Rodríguez,-1,0,183900
Ivan Smirnov,Samuel Perry,-84,729300
Henry Richardson,-1,-66,1957800
Tomas Vasquez,-1,0,876900
Santiago Marques,Min-jung Kim,-83,2114700
Andrew Turner,-1,0,2167500
Mariam Al-Zahid,Imani Asante,-84,1075200
Christopher Reed,-1,0,620700
Asha Kebede,Sakura Tanaka,-73,1347000
Deepika Singh,-1,-66,602700
Gabriel Wright,-1,0,1759800
Yulia Sidorova,-1,0,1014300
Pavel Petrov,-1,-81,2162100
Ava Wright,-1,0,971400
Benjamin Rocha,-1,-76,1408200
Samuel Perry,Owen Edwards,-78,903600
Gabriel Alvarez,James Walker,-53,471300
Emma Fernandes,Satoshi Tanaka,-79,1416900
Lily Turner,-1,-96,1773900
Isaac Rogers,Samuel Lee,-90,77400
Samira Al-Haddad,-1,0,2151300
Owen Edwards,-1,0,2073000
Dalia Mensah,-1,-74,643200
Thabo Mokwena,Luna Howard,-86,2017500
Tetsuya Ono,Caleb Sanchez,-83,1959300
Nathan Stewart,Ellie Parker,-81,969000
Matthew Hayes,-1,0,414900
Kofi Boateng,Aleksandr Kozlov,-96,1025400
Musa Kamau,Julian Ferreira,-95,2125500
Zuri Okoro,-1,0,2095800
Camila Cardoso,-1,0,1561800
Nala Bah,-1,-78,976500
Sergei Smirnov,-1,0,1791900
Zainab Nkosi,Luna Howard,-100,1827000
Rashid Farah,-1,-85,444600
Anna Kuznetsova,Imani Eze,-64,2326500
Brooklyn Peterson,-1,0,156600
Daria Kuznetsova,William Cox,-90,897000
Natalya Kuznetsova,-1,0,1694100
Hassan Ibrahim,Ranjana Sharma,-96,1733400
Lucas Herrera,Savannah Cox,-79,908700
Jabari Azikiwe,Zahra Osei,-86,400500
Henry Hughes,-1,0,450900
Hiroshi Nakamura,-1,0,905400
Ayomide Ojo,Mei Wang,-85,903000
Camila Lima,Samuel Perry,-73,729000
Amelia Murphy,-1,-90,2132700
Haruki Sato,-1,0,327600
Layla Al-Hamadi,-1,0,1373100
Nicolas Ribeiro,Adam Wilson,-94,2318400
Mounir El-Said,Sophia Brown,-96,705600
Santiago Marques,Jacob Wright,-92,2109600
Chen Wang,-1,0,1180200
Samira Al-Haddad,-1,0,2369400
Violet Perry,-1,0,1248900
Gabriela Oliveira,-1,0,1274100
Matthew Hayes,-1,-74,573300
Shinji Yamamoto,-1,-74,1802100
Pedro Gomes,Tendai Nyathi,-94,1413000
Valentina Escobar,-1,-87,1920300
James Walker,-1,-77,843600
Layla Al-Khouri,Ji-hoon Lee,-83,1426500
Mariam Al-Zahid,-1,0,972300
Alexey Ivanov,Santiago Marques,-82,2340300
Obi Eze,-1,0,2261100
Zainab Nkosi,Stella King,-90,824100
Wyatt Roberts,Amelia Murphy,-93,2315400
Naledi Khumalo,Imani Eze,-94,116700
Imani Asante,Kazuki Suzuki,-79,1030200
Ella Phillips,Stella Mitchell,-78,468000
Khaled Al-Hakim,Noor Al-Hakim,-69,1939200
Amira Ojo,-1,-88,339000
Fahad Hassan,-1,0,1117800
Amina Ali,-1,0,55200
Hannah Collins,Nora Howard,-96,744000
Zara Diop,-1,0,1993200
Satoshi Tanaka,Ellie Parker,-90,774300
Baraka Okafor,-1,0,2100300
Valeria Ramos,Fahad Al-Hamdan,-87,739200
Elizabeth Powell,-1,0,1160700
Igor Voronin,Sebastian Barbosa,-67,1329300
Mariam Al-Zahid,-1,0,1449600
Stella Reed,-1,0,878700
Vitaly Popov,Idris Nkrumah,-87,1604700
Priya Kapoor,David Ross,-74,1349700
Ignacio Silva,-1,0,1036200
Sophia Brown,-1,0,621300
Lumka Ntuli,James Walker,-91,2302200
Wyatt Roberts,Abigail Morgan,-72,831600
David Rogers,-1,-93,1459800
Fatima Sarr,Sophia Brown,-94,1067700
Adam Wilson,Levi Russell,-80,1004400
Emma Guzman,-1,0,763800
Asha Kamau,-1,0,773700
Zahra Mansour,-1,0,364500
Andrei Sokolov,Isabella Ferreira,-77,822900
Emma Mendonça,-1,0,900600
Gabriela Oliveira,-1,0,1402200
Rima Hassan,-1,0,1663800
Halima Toure,-1,0,1418100
Antonella Mendonça,-1,-73,1428900
Amira Ojo,-1,0,460500
Ji-woo Lee,-1,0,139800
Isabella Costa,-1,-85,1701900
Tariq Ibrahim,Safiya Kamau,-93,2281800
Isabella Barbosa,Andrew Hayes,-88,474600
Abdullah Fawzi,Safiya Kamau,-87,984000
Nala Kone,-1,0,191100
Ethan Baker,-1,-84,404100
Sergey Antonov,-1,0,1545900
Mirembe Nakamura,Priya Kapoor,-83,824400
Chloe Parker,-1,0,799200
Adedeji Adeyemi,-1,0,2363400
Aleksei Sokolov,Nadia Al-Hamadi,-80,2023500
Vitaly Voronov,-1,0,1254000
Madison Rivera,-1,-82,423600
Lily Turner,-1,0,157200
Mojalefa Modise,-1,-98,315900
Tomas Vasquez,-1,-81,86400
Alexey Smirnov,-1,0,1985700
Kazuki Suzuki,Sebastian King,-89,1953900
Hamza Al-Hussein,Lincoln Campbell,-93,138900
Nala Bah,-1,0,1721700
Claire Simmons,Liam Thompson,-84,178200
Zainab Fall,Kato Nwadike,-70,898500
Leila Al-Zaidi,Ananya Das,-84,681300
Yuki Nakamura,Caleb Wood,-95,1515600
Savannah Coleman,-1,-75,1556700
Lina Al-Saleh,Nala Diallo,-90,1011300
Luna Howard,-1,-80,1122300
Priya Patel,Matthew Adams,-94,396000
Nala Kone,-1,0,2270100
Nada Al-Khalidi,-1,-84,2323800
Jack Morgan,-1,-75,1989900
Elijah Rodriguez,Oliver Turner,-77,289200
Elizabeth Powell,-1,0,1483800
Layla Al-Aziz,-1,-85,510600
Chukwuma Eze,-1,-74,686700
Zara Al-Ali,-1,-86,2088000
Antonella Mendonça,-1,0,1946100
Alexey Ivanov,Imani Koné,-90,2252700
Ji-woo Park,-1,-81,1027200
Sara Hassan,Matthew Adams,-74,1507200
Tomas Vasquez,-1,0,1458000
Idris Nkrumah,-1,0,1730100
Viktor Sokolov,Hazel Gonzalez,-65,1383900
Ji-hye Park,Liam Thompson,-76,912000
Priya Kapoor,-1,0,2342100
Isaac Mitchell,-1,-98,1049700
Aubrey Russell,Scarlett Hall,-92,377100
Benjamin Pacheco,Aubrey Russell,-94,2208000
Matthew Hayes,-1,-78,2214600
Ekaterina Volkova,-1,0,1640400
Fatima Al-Ahmadi,-1,-66,775200
Hamza Saad,Safiya Dlamini,-69,1615200
Antonella Costa,Ibrahim Fawzi,-68,475800
Karim Sharif,-1,-85,1107300
Julian Ramirez,Noah Martinez,-91,825900
Dylan Butler,-1,0,18600
Santiago Marques,Imani Koné,-89,1566000
Nisha Patel,-1,0,208800
Stella Mitchell,-1,0,1494000
Rashid Farah,Salma Al-Jaber,-95,1008600
Ana Oliveira,-1,-88,1176600
Ekaterina Ivanova,-1,0,590700
Kofi Akoto,-1,0,1143000
Alejandro Morales,-1,0,2150700
Nathan Edwards,-1,0,88500
Ayanda Ndlovu,-1,-83,2151300
Martina Alvarez,Nia Nkosi,-90,1675800
Nicolas Almeida,Rajesh Gupta,-78,2700
Yana Orlova,-1,-67,1183500
Isaac Adams,Zoey Hall,-87,156300
Layla Al-Hamadi,Ayesha Jallow,-97,1587000
Renata Miranda,-1,-76,2345700
Aleksandr Popov,-1,0,653400
Santiago Ferreira,-1,0,2240400
Paisley Phillips,-1,-69,594000
Ananya Das,-1,-90,2016000
Rashid Mahmoud,Nisha Shah,-94,739500
Ahmed Nasser,-1,-92,2213400
Valentina Castro,-1,0,181200
Elizabeth Bennett,-1,-75,336600
Noah Martinez,-1,-70,1958400
Noah Jenkins,-1,-82,1889400
Aleksandr Gusev,Mei Wang,-53,1508100
Valentina Castro,-1,0,1649100
Amira Haddad,William Cox,-100,2193900
Savannah Cox,Chloe Bennett,-87,1083900
Nicolas Santos,Ji-woo Lee,-77,431100
Nicolas Almeida,-1,0,678900
Sakura Tanaka,-1,0,1404300
Fatima Al-Said,-1,0,546000
Rajan Patel,Grace Adams,-76,821100
Marina Kovalenko,Ayomide Ojo,-97,839400
Mustafa Al-Masri,-1,0,2357700
Asha Kebede,Sakura Tanaka,-76,225000
Fatima Al-Said,Amelia Clark,-62,223800
Youssef Al-Mansoori,-1,0,345300
Khaled Al-Najjar,-1,0,959100
Chloe Bennett,-1,0,1812300
Fatoumata Diop,Aleksandr Petrov,-75,1504800
Amelia Andrade,Violet Perry,-88,1611000
Oksana Antonova,-1,-92,926100
Noah Martinez,-1,-79,1200
Penelope Brooks,Matthew Adams,-88,2213100
Scarlett Nelson,Jonathan Morris,-73,703800
Nala Bah,-1,0,2175300
Christopher Price,-1,0,925500
Sergei Ponomarev,Igor Voronin,-92,726300
Benjamin Mendez,-1,0,776700
Mariam Al-Rizk,Caleb Wood,-85,276000
Chinedu Okonkwo,-1,0,1244700
Marina Popova,Hiroshi Nakamura,-86,1662000
Carter James,Luna Howard,-87,990000
Chen Li,-1,-94,247800
Irina Morozova,-1,0,518400
Eli Ramirez,-1,-77,44100
Obi Eze,Ryota Nakamura,-98,895200
Ayesha Touré,Violet Kelly,-88,2192100
Nala Kone,Kazuki Suzuki,-83,1950600
Khaled Al-Rashidi,-1,0,1392000
Arjun Patel,Caleb Wood,-74,1973700
Mariam Al-Mahmoud,Adam Wilson,-58,2214600
Karan Gupta,Nisha Patel,-88,1604100
Nala Diallo,Grace Ramirez,-84,836700
Joseph Kelly,-1,0,1494900
Raziya Ndlovu,Asha Kamau,-90,1614900
Hassan Ibrahim,Grayson Parker,-56,1641900
Sebastian King,-1,0,1533900
Yasmin Al-Ahmad,-1,-63,1111200
Khadija Issa,Mei Wang,-90,203400
Svetlana Volkova,-1,-93,630900
Nicolas Ribeiro,Abigail Morgan,-83,472500
Ahmed Al-Dawood,-1,0,615300
Lily Morris,-1,0,70500
Avery Reed,-1,0,1886400
Gabriel Rocha,-1,0,2241300
Nuru Dlamini,-1,0,2061600
Maya Mitchell,-1,0,498000
Lina Al-Saleh,Grayson Parker,-94,1431900
Safiya Kamau,-1,0,1811400
Aisha Al-Mahdi,Arjun Gupta,-92,308100
Idris Adekunle,-1,0,789000
Lucas Almeida,-1,0,536100
Jamila Diawara,-1,0,983700
Elijah Rodriguez,Alexander Reed,-92,291300
Fahad Hassan,-1,-88,881400
Priya Kapoor,-1,0,711000
